player,games_played,avg_elo,mean_score,opening_diversity,favorite_opening,favorite_opening_games,favorite_opening_share,favorite_openings_coverage,family_closed_share,family_flank_share,family_indian_share,family_open_share,family_semi_open_share,eco_a_share,eco_b_share,eco_c_share,eco_d_share,eco_e_share,attackish_share,defensive_share,positional_share,hypermodern_share,cluster_id,archetype,pca_1,pca_2
draten,2119,1541.0726757904672,0.36809815950920244,87,Hungarian Opening,553,0.26097215667767815,0.44643699858423785,0.0,0.7293868921775899,0.0,0.0,0.27061310782241016,0.7293868921775899,0.27061310782241016,0.0,0.0,0.0,0.0,0.27061310782241016,0.4154334038054968,0.0,0,Hypermodern Strategists,-3.0271181724036897,-0.8264189428172646
lichinut,2090,1785.3181818181818,0.48851674641148324,97,Hungarian Opening,480,0.22966507177033493,0.48229665071770333,0.0,0.6676587301587301,0.0,0.0,0.3323412698412698,0.6676587301587301,0.3323412698412698,0.0,0.0,0.0,0.0,0.5238095238095238,0.19146825396825398,0.5238095238095238,0,Hypermodern Strategists,-3.2021619328361015,0.09997080612933856
batyaiktat,2024,1867.2890316205533,0.5573122529644269,156,Hungarian Opening,460,0.22727272727272727,0.4614624505928854,0.0,0.7815845824411135,0.0,0.0,0.21841541755888652,0.7815845824411135,0.21841541755888652,0.0,0.0,0.0,0.0,0.33083511777301927,0.0,0.33083511777301927,0,Hypermodern Strategists,-3.1782945828823013,-0.4842922772302085
slippo25,1845,1687.3479674796747,0.42005420054200543,48,Nimzo-Larsen Attack,381,0.20650406504065041,0.47588075880758807,0.0,0.6389521640091116,0.0,0.0,0.36104783599088835,0.6389521640091116,0.36104783599088835,0.0,0.0,0.0,0.43394077448747154,0.5660592255125285,0.20501138952164008,1.0,0,Hypermodern Strategists,-3.5143939048260227,0.31738766552203485
Lubitsch,1787,1817.3335198656966,0.7241186345831002,167,Scandinavian Defense,110,0.06155567991046446,0.1600447677672076,0.0,0.6153846153846154,0.0,0.0,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.0,1.0,0.2762237762237762,0.6153846153846154,0,Hypermodern Strategists,-1.8654607273715955,1.9453619988719297
bombozik,1782,1772.9029180695848,0.4834455667789001,228,Horwitz Defense,164,0.0920314253647587,0.22166105499438832,0.37721518987341773,0.6227848101265823,0.0,0.0,0.0,0.6227848101265823,0.0,0.0,0.37721518987341773,0.0,0.0,0.4151898734177215,0.0,0.20759493670886076,0,Hypermodern Strategists,-2.0157503519458935,-0.6559474978993213
childchess,1769,1731.3499152063312,0.4381006218202374,108,Owen Defense,327,0.18485019785189372,0.35500282645562464,0.0,0.47929936305732485,0.0,0.0,0.5207006369426752,0.47929936305732485,0.5207006369426752,0.0,0.0,0.0,0.0,0.8535031847133758,0.3328025477707006,0.8535031847133758,0,Hypermodern Strategists,-2.561537215108628,1.7213418483627925
Chowsa,1751,1762.9183323814964,0.49428897772701313,53,Nimzo-Larsen Attack,356,0.2033123929183324,0.42432895488292405,0.0,0.756393001345895,0.0,0.0,0.24360699865410498,0.756393001345895,0.24360699865410498,0.0,0.0,0.0,0.756393001345895,0.24360699865410498,0.0,1.0,0,Hypermodern Strategists,-3.741156360595229,-0.48049184313378696
Argonn3007,1750,1896.354857142857,0.63,529,English Opening,38,0.021714285714285714,0.064,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3392857142857143,0.3392857142857143,0,Hypermodern Strategists,-2.3002043196592536,0.4394938858620758
andrei70ster,1733,1860.3035199076746,0.429601846508944,233,Modern Defense,194,0.11194460473167916,0.1869590305828044,0.0,0.5123456790123457,0.0,0.0,0.4876543209876543,0.5123456790123457,0.4876543209876543,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,1.0,0,Hypermodern Strategists,-1.9373727392147146,2.282501845731549
chessboy1000,1666,1465.4975990396158,0.3190276110444178,37,St. George Defense,406,0.24369747899159663,0.5498199279711885,0.0,0.5567685589519651,0.0,0.001091703056768559,0.4421397379912664,0.5567685589519651,0.4421397379912664,0.001091703056768559,0.0,0.0,0.0,0.6790393013100436,0.0,0.0,0,Hypermodern Strategists,-2.2608031036374454,-0.09575457500539004
traktniven,1662,1329.6576413959085,0.37725631768953066,306,Van't Kruijs Opening,104,0.06257521058965103,0.14259927797833935,0.0,0.7426160337552743,0.0,0.25738396624472576,0.0,0.7426160337552743,0.0,0.25738396624472576,0.0,0.0,0.0,0.25738396624472576,0.0,0.0,0,Hypermodern Strategists,-0.6383172027892899,-0.9781178997727549
fafaf_1700,1657,1639.8273989136994,0.5781532890766445,274,Scandinavian Defense: Mieses-Kotroc Variation,91,0.05491852745926373,0.1424260712130356,0.0,0.614406779661017,0.0,0.0,0.3855932203389831,0.614406779661017,0.3855932203389831,0.0,0.0,0.0,0.0,0.3855932203389831,0.0,0.0,0,Hypermodern Strategists,-1.007242632170242,1.079668938985883
Marta_singer,1654,2452.0671100362756,0.7874848851269649,267,Mikenas Defense,91,0.05501813784764208,0.12817412333736397,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6745283018867925,0.0,0.24528301886792453,0,Hypermodern Strategists,-2.5682960766627967,0.5436300891311507
jlindner,1571,2256.8001273074474,0.5401018459579885,330,Old Benoni Defense,92,0.05856142584341184,0.1534054742202419,0.2987551867219917,0.7012448132780082,0.0,0.0,0.0,0.7012448132780082,0.0,0.0,0.2987551867219917,0.0,0.0,0.3817427385892116,0.0,0.7012448132780082,0,Hypermodern Strategists,-2.503650436283167,0.36337153519560406
alllexiss,1540,1692.368831168831,0.5652597402597402,195,English Opening,153,0.09935064935064936,0.22337662337662337,0.0,0.7063953488372093,0.0,0.0,0.2936046511627907,0.7063953488372093,0.2936046511627907,0.0,0.0,0.0,0.0,0.2936046511627907,0.7383720930232558,0.44476744186046513,0,Hypermodern Strategists,-2.685753674240367,0.6601849510745015
ZMAJ,1464,1942.4760928961748,0.44979508196721313,103,Hungarian Opening,343,0.2342896174863388,0.39617486338797814,0.0,0.8827586206896552,0.0,0.0,0.11724137931034483,0.8827586206896552,0.11724137931034483,0.0,0.0,0.0,0.0,0.20862068965517241,0.0,0.20862068965517241,0,Hypermodern Strategists,-3.4296475323358346,-1.1447549415112719
kryltcov,1441,1853.6280360860515,0.47015961138098544,81,Owen Defense,218,0.15128383067314366,0.4073560027758501,0.0,0.6286201022146508,0.0,0.0,0.37137989778534924,0.6286201022146508,0.37137989778534924,0.0,0.0,0.0,0.0,0.6439522998296422,0.272572402044293,0.6439522998296422,0,Hypermodern Strategists,-2.9352198250248382,0.737694116808501
